,filename,Total Energy Consumption in Production,Energy Consumption per Vehicle Production,Total Water Usage,Total Wastewater Volume Generated,Water Recycling and Reuse Rate,Total GHG Emissions,GHG Emissions and Intensity per Vehicle,Total Manufacturing Waste Generation,Waste Recycling and Diversion Rate,Battery Recycling Rate,Employee Turnover Rate,Number of Workplace Accidents,Employee Injury Rate,Average Training Hours/Employee,Training Investment/Employee,Workforce Gender Ratios,Workforce Minority Ratios,Number of Corruption Incidents,Anti-corruption Compliance Rate,Number of Anti-competitive Practices,Monetary Value of Fines Imposed,Political Contributions and Lobbying Expenditures,Number of Marketing Compliance and Ethical Advertising Violation Incidents,Sales-weighted Average Fuel Economy/Emissions,Zero Emission and Alternative Fuel Vehicle Sales,Narrative on Sustainability Goals and Actions,Progress Updates on Emission Reduction Targets,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Narrative on Workforce Diversity Employee Well-being and Safety,Disclosure on Community Engagement and Social Impact Initiatives,Narrative on Governance Framework and Board Diversity,Disclosure on ESG Risk Management and Stakeholder Engagement,Narrative on Innovations in Sustainable Technologies and Product Design,Disclosure on Sustainable Supply Chain Management Practices,e_score,s_score,g_score,esg_score,Industry,Company,Year
39,"../data/processed/Auto Manufacturers - Major-Niu Technologies-2023 Environmental, Social and Governance Report.txt",0.7163316710576929,-0.2,-0.2,-0.2,-0.2,0.9427674708729519,-0.2,-0.2,-0.2,1.0,0.16838487972508587,-0.2,-0.2,-0.2,-0.2,0.5257766827530269,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.0,-0.2,-0.2,1.0,-0.2,1.0,-0.2,1.0,38.19,47.39,62.9,47.3,Auto Manufacturers - Major,Niu Technologies,2023
40,../data/processed/Auto Parts-Garrett Motion Inc-2023 Sustainability Report.txt,0.9858609068840738,-0.2,0.9943582180350566,0.974547310609026,-0.2,0.9999993886850376,-0.2,0.9981073373603034,0.5795918367346939,-0.2,0.6735395189003437,0.9594868332207968,1.0,-0.8107529671184901,-0.2,0.2751045887768578,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,1.0,1.0,-0.2,-0.2,70.05,93.47,67.2,77.51,Auto Parts,Garrett Motion Inc,2023
41,../data/processed/Auto Manufacturers - Major-BMW AG-2019 Sustainable Value Report.txt,0.40438935337086285,-0.2,0.840757096768818,0.48827542430513987,-0.2,-0.2,0.461882760612186,0.8523439298409149,-0.2,0.7142857142857141,0.9106529209621994,-0.2,-0.2,1.0,-0.2,-0.1127493371161468,-0.2,-0.2,-0.2,-0.2,-0.27272724512396584,-0.2,-0.2,0.430181008361314,-0.2755189308466209,-0.2,1.0,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,-0.2,54.01,27.0,47.19,45.68,Auto Manufacturers - Major,BMW AG,2019
42,../data/processed/Auto Parts-Linamar Corp-2022 Sustainability Report.txt,0.7707916312481711,-0.2,0.9999641427274095,-0.2,-0.2,0.9999929910470026,-0.2,0.9891374637544791,0.5875510204081633,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,1.0,-0.2,-0.2,-0.2,55.45,45.9,54.29,53.5,Auto Parts,Linamar Corp,2022
43,../data/processed/Auto Parts-Aptiv-2023 Sustainability Summary Report.txt,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.9934914885530528,0.673469387755102,-0.2,-0.2,-0.2,0.9962756052141528,-1.0,-0.2,0.337655036241831,0.9599999999999997,-0.2,1.0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,1.0,1.0,-0.2,1.0,61.14,69.05,70.23,67.57,Auto Parts,Aptiv,2023
44,../data/processed/Auto Parts-Allison Transmission-2023 Corporate Social Responsibility Report.txt,0.9432391702899384,-0.2,0.988308038563565,-0.2,-0.2,0.999997577882381,-0.2,-0.2,0.9795918367346939,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,1.0,-0.2,-0.2,1.0,-0.2,-0.2,1.0,61.68,47.89,54.29,57.38,Auto Parts,Allison Transmission,2023
45,../data/processed/Auto Manufacturers - Major-Electrameccanica Vehicles Corp. Ltd-2021 Sustainability Report.txt,0.6956063037553867,-0.2,-0.2,-0.2,-0.2,0.9427555115896581,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,1.0,-0.2,-0.2,0.0,1.0,-0.2,1.0,50.78,55.97,61.1,55.69,Auto Manufacturers - Major,Electrameccanica Vehicles Corp. Ltd,2021
46,../data/processed/Auto Manufacturers - Major-Ferrari N.V-2023 Responsibility Report.txt,0.6685480256610337,-0.2,0.8103670028605532,-0.2,-0.2,0.9427663431820739,-0.2,0.8743587600294872,1.0,-0.2,0.8591065292096223,0.924375422012154,0.7132216014897581,-0.35157922044231144,-0.2,-0.15272518699977566,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,77.4,82.27,46.97,72.1,Auto Manufacturers - Major,Ferrari N.V,2023
47,../data/processed/Auto Parts-Douglas Dynamics Inc-2022 ESG Report.txt,0.7048054198359914,-0.2,0.8103896501889402,-0.2,-0.2,-0.2,-0.2,0.8757141464211446,-0.2,-0.2,0.37457044673539536,0.7407157326130993,-0.2,-0.2,-0.2,-0.34134653163451717,0.6999999999999997,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,31.36,51.95,46.97,39.52,Auto Parts,Douglas Dynamics Inc,2022
48,../data/processed/Auto Parts-Semperit AG Holding-2023 Sustainability Report.txt,0.6326871391965981,-0.2,0.6692945706098958,-0.2,-0.2,0.9427566849922739,-0.2,-0.2,-0.14285714285714288,-0.2,-0.2,0.8419986495611074,-1.0,-0.2,-0.2,0.337655036241831,-1.0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,1.0,-0.2,-0.2,-0.2,1.0,1.0,-0.2,-0.2,48.45,44.43,67.2,53.55,Auto Parts,Semperit AG Holding,2023
